influencer_name,category,insta_id,username,followers_count,following_count,avg_likes,avg_comments,total_posts,account_age_days,profile_complete
Ava Fitness,Health,1001,avafit_official,520000,820,21000,540,1620,2800,1
Ava Fitness,Health,1001,user_fit_001,120,1800,2,0,14,95,0
Ava Fitness,Health,1001,user_fit_002,880,540,21,3,102,820,1
Ava Fitness,Health,1001,user_fit_003,75,2300,0,0,4,40,0
Ava Fitness,Health,1001,user_fit_004,1350,310,44,5,188,1020,1
Ava Fitness,Health,1001,user_fit_005,220,1600,1,0,11,70,0
Ava Fitness,Health,1001,user_fit_006,990,440,26,4,132,910,1
Neo Gadget Lab,Tech,2002,neogadgetlab,880000,1400,34000,900,2400,3200,1
Neo Gadget Lab,Tech,2002,tech_follower_001,310,1450,5,0,30,180,1
Neo Gadget Lab,Tech,2002,tech_follower_002,50,2900,0,0,3,25,0
Neo Gadget Lab,Tech,2002,tech_follower_003,760,610,20,3,120,760,1
Neo Gadget Lab,Tech,2002,tech_follower_004,95,2600,1,0,8,66,0
Neo Gadget Lab,Tech,2002,tech_follower_005,1400,380,52,8,245,1280,1
Neo Gadget Lab,Tech,2002,tech_follower_006,410,1300,7,1,45,250,1
